Team	General Manager	Date of hire	Active	URL
Atlanta Hawks	Travis Schlenk	2017	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Hawks&PlayerMovementChkBx=yes&BeginDate=2017-5-25&EndDate=3000-1-1&submit=Search
Boston Celtics	Danny Ainge	2003	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Celtics&PlayerMovementChkBx=yes&BeginDate=2003-5-9&submit=Search&start=0
Brooklyn Nets	Sean Marks	2016	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Nets&PlayerMovementChkBx=yes&BeginDate=2016-2-18&EndDate=3000-1-1&submit=Search
Charlotte Hornets	Rich Cho	2011	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Hornets&PlayerMovementChkBx=yes&BeginDate=2011-6-14&EndDate=2018-2-20&submit=Search
Chicago Bulls	Gar Forman	2009	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Bulls&PlayerMovementChkBx=yes&BeginDate=2009-5-20&submit=Search
Cleveland Cavaliers	Koby Altman	2017	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Cavaliers&PlayerMovementChkBx=yes&BeginDate=2017-7-24&submit=Search
Dallas Mavericks	Donnie Nelson	2005	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Mavericks&PlayerMovementChkBx=yes&BeginDate=2002-7-1&submit=Search
Denver Nuggets	Arturas Karnisovas	2013	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Nuggets&PlayerMovementChkBx=yes&BeginDate=2017-6-15&EndDate=3000-6-30&submit=Search
Detroit Pistons	Jeff Bower	2014	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Pistons&PlayerMovementChkBx=yes&BeginDate=2014-6-3EndDate=3000-1-1&submit=Search
Golden State Warriors	Bob Myers	2012	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Warriors&PlayerMovementChkBx=yes&BeginDate=2012-4-24&EndDate=3000-1-1&submit=Search
Houston Rockets	Daryl Morey	2007	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=rockets&PlayerMovementChkBx=yes&BeginDate=2007-5-6&submit=Search
Indiana Pacers	Kevin Pritchard	2012	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Pacers&PlayerMovementChkBx=yes&BeginDate=2012-6-27&submit=Search
Los Angeles Clippers	Dave Wohl	2014	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Clippers&PlayerMovementChkBx=yes&BeginDate=2014-6-16&EndDate=3000-1-1&submit=Search
Los Angeles Lakers	Rob Pelinka	2017	Y	
Memphis Grizzlies	Chris Wallace	2007	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Grizzlies&PlayerMovementChkBx=yes&BeginDate=2014-7-29&submit=Search
Miami Heat	Pat Riley	2003	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Heat&PlayerMovementChkBx=yes&BeginDate=1995-9-2&submit=Search
Milwaukee Bucks	Jon Horst	2017	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Bucks&PlayerMovementChkBx=yes&BeginDate=2017-6-16&EndDate=3000-1-1&submit=Search
Minnesota Timberwolves	Scott Layden	2016	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Timberwolves&PlayerMovementChkBx=yes&BeginDate=2016-4-20&EndDate=3000-1-1&submit=Search
New Orleans Pelicans	Dell Demps	2010	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Hornets&PlayerMovementChkBx=yes&BeginDate=2010-7-21&submit=Search
New York Knicks	Steve Mills	2013	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Knicks&PlayerMovementChkBx=yes&BeginDate=2013-9-26&EndDate=3000-1-1&submit=Search
Oklahoma City Thunder	Sam Presti	2007	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php??Player=&Team=Thunder&PlayerMovementChkBx=yes&BeginDate=2007-6-7&submit=Search
Orlando Magic	John Hammond	2017	Y	http://www.prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=Bucks&PlayerMovementChkBx=yes&BeginDate=2008-4-11&submit=Search
