Stats,Salary,Transactions
ATL,ATL,Hawks
BOS,BOS,Celtics
BRK,NJN,Nets
CHA,CHA,Bobcats
CHI,CHI,
CHO,CHA,
CLE,CLE,Cavaliers
DAL,DAL,Mavaricks
DEN,DEN,Nuggets
DET,DET,Pistons
GSW,GSW,Warriors
HOU,HOU,Rockets
IND,IND,Pacers
LAC,LAC,Clippers
LAL,LAL,
MEM,MEM,Grizzlies
MIA,MIA,Heat
MIL,MIL,Bucks
MIN,MIN,Timberwolves
NJN,NJN,Nets
NOH,NOH,Hornets
NOK,NOH,Hornets
NOP,NOH,Hornets
NYK,NYK,Knicks
OKC,OKC,
ORL,ORL,
PHI,PHI,76ers
PHO,PHO,Suns
POR,POR,Blazers
SAC,SAC,
SAS,SAS,Spurs
SEA,OKC,Sonics
TOR,TOR,Raptors
UTA,UTA,Jazz
WAS,WAS,Wizards
